Headline,Link
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
News,https://www.bbc.com/news
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
US & Canada,https://www.bbc.com/news/us-canada
UK,https://www.bbc.com/news/uk
UK Politics,https://www.bbc.com/news/politics
England,https://www.bbc.com/news/england
N. Ireland,https://www.bbc.com/news/northern_ireland
N. Ireland Politics,https://www.bbc.com/news/northern_ireland/northern_ireland_politics
Scotland,https://www.bbc.com/news/scotland
Scotland Politics,https://www.bbc.com/news/scotland/scotland_politics
Wales,https://www.bbc.com/news/wales
Wales Politics,https://www.bbc.com/news/wales/wales_politics
Africa,https://www.bbc.com/news/world/africa
Asia,https://www.bbc.com/news/world/asia
China,https://www.bbc.com/news/world/asia/china
India,https://www.bbc.com/news/world/asia/india
Australia,https://www.bbc.com/news/world/australia
Europe,https://www.bbc.com/news/world/europe
Latin America,https://www.bbc.com/news/world/latin_america
Middle East,https://www.bbc.com/news/world/middle_east
In Pictures,https://www.bbc.com/news/in_pictures
BBC InDepth,https://www.bbc.com/news/bbcindepth
BBC Verify,https://www.bbc.com/news/bbcverify
Live News,https://www.bbc.com/live/news
Newsletters,https://www.bbc.com/newsletters
'We knew the family': Utah town in disbelief after local resident accused of killing Charlie KirkTyler Robinson is accused of killing Charlie Kirk during an open-air speaking event.10 hrs agoUS & Canada,https://www.bbc.com/news/articles/czew1nz17rro
"Mandelson should never have been ambassador, says Epstein victim's familyIn an exclusive interview on Sunday with Laura Kuenssberg, Virginia Giuffre's brother said, ""he should never have been given the position"".20 mins agoUK",https://www.bbc.com/news/articles/c87ypx8gq3do
"Dozens of officers injured as up to 150,000 join Tommy Robinson rallySome 25 arrests are made after ""unacceptable violence"" at demonstrations in central London, police say.13 hrs agoLondon",https://www.bbc.com/news/articles/cwydezxl0xlo
'Freddie would have loved it': Queen wow at Last Night of the PromsThe rock band play an orchestral version of Bohemian Rhapsody; while Bill Bailey plays a typewriter.12 hrs agoCulture,https://www.bbc.com/news/articles/cwyn7lq1q1ro
"Trump 'ready' to sanction Russia if Nato nations stop buying its oilThe US president has repeatedly threatened tougher measures against Moscow, but has so far failed to take action.14 hrs agoWorld",https://www.bbc.com/news/articles/c62zxp1y5lwo
"Mandelson should never have been ambassador, says Epstein victim's familyIn an exclusive interview on Sunday with Laura Kuenssberg, Virginia Giuffre's brother said, ""he should never have been given the position"".20 mins agoUK",https://www.bbc.com/news/articles/c87ypx8gq3do
"Nepal's interim PM to hand over power within six monthsSushila Karki said the government must heed protesters' demands for ""an end to corruption, good governance and economic equality"".1 hr agoAsia",https://www.bbc.com/news/articles/cp8wjz90z4no
"The Indian city that sparkles like Paris at nightIn 21 months, citizens have lit up 92 Kolkata landmarks with a simple model: your property, their lights.12 hrs agoAsia",https://www.bbc.com/news/articles/c14704vj4r2o
